id,current_age,retirement_age,gender,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards
1493,30,65,Male,26748.00,54537.00,121987.00,765,4
1161,23,66,Male,24155.00,49255.00,6557.00,823,2
217,42,65,Male,15221.00,31031.00,21853.00,744,7
1877,65,66,Male,34659.00,70673.00,87605.00,714,4
668,87,57,Female,13263.00,16342.00,1758.00,747,5
533,22,65,Male,15183.00,30961.00,42597.00,677,1
203,58,67,Female,14864.00,30305.00,23392.00,776,3
1738,30,68,Male,33736.00,68784.00,198417.00,696,4
713,25,71,Female,17040.00,34745.00,26503.00,691,4
1631,18,67,Female,31741.00,64715.00,174664.00,740,3
1487,59,69,Female,39464.00,80464.00,76261.00,727,3
1265,18,67,Female,24400.00,49748.00,23161.00,748,1
370,61,58,Male,16113.00,41904.00,12545.00,655,4
1014,54,70,Female,96516.00,196784.00,437533.00,729,3
290,27,66,Female,49458.00,100837.00,61377.00,687,2
985,32,65,Male,25334.00,51654.00,95454.00,600,4
135,64,69,Female,18680.00,38088.00,51679.00,691,2
307,18,69,Male,18082.00,36866.00,0.00,680,2
1783,52,70,Male,18443.00,37607.00,63689.00,749,5
1321,49,66,Female,16910.00,34480.00,58795.00,696,1
1511,43,66,Male,23680.00,48279.00,114254.00,719,2
900,36,65,Male,16133.00,32896.00,69800.00,735,2
953,18,71,Male,14667.00,29909.00,42832.00,664,2
233,37,64,Female,23278.00,47464.00,83591.00,716,1
406,23,64,Female,41750.00,85128.00,108678.00,641,1
1069,54,69,Male,22487.00,45852.00,114746.00,615,2
180,33,67,Female,13024.00,26556.00,43042.00,840,2
996,63,67,Female,19712.00,40194.00,107765.00,738,6
1866,22,67,Male,30475.00,62135.00,75209.00,676,2
1981,48,65,Male,19274.00,39303.00,23650.00,702,7
870,63,64,Female,35114.00,71593.00,132181.00,821,3
16,75,67,Male,15451.00,22158.00,19101.00,681,5
46,62,66,Male,26481.00,53996.00,98211.00,632,4
800,28,73,Female,12766.00,26025.00,23971.00,723,4
1968,25,69,Female,31299.00,63816.00,100128.00,775,1
697,56,73,Female,32485.00,66230.00,90248.00,742,3
1269,56,56,Male,25365.00,36335.00,28929.00,676,2
1782,59,61,Female,19438.00,39633.00,58586.00,777,3
1977,43,69,Female,28048.00,57185.00,0.00,773,3
1734,37,69,Male,40530.00,82637.00,84762.00,739,2
1913,60,57,Female,34259.00,31121.00,32768.00,619,5
858,47,67,Male,15092.00,30774.00,51428.00,700,3
606,48,67,Male,16300.00,33236.00,57549.00,747,1
1564,35,65,Male,18613.00,37947.00,49951.00,683,3
1109,24,65,Male,21518.00,43875.00,128146.00,639,1
1301,26,66,Female,30335.00,61850.00,81158.00,728,9
1399,28,71,Male,19770.00,40314.00,131348.00,707,4
1775,26,67,Male,18622.00,37968.00,55982.00,788,3
1673,41,67,Male,17145.00,34954.00,45456.00,772,3
1957,40,74,Male,47055.00,95945.00,222735.00,772,2
1033,18,58,Female,16598.00,33844.00,42109.00,684,2
1024,66,67,Male,32162.00,65573.00,143069.00,739,4
1441,40,66,Male,23840.00,48609.00,43520.00,737,3
1103,45,70,Female,12618.00,25723.00,34007.00,746,3
431,19,72,Female,25495.00,51984.00,79152.00,691,3
165,34,65,Male,52813.00,107683.00,225017.00,694,3
353,24,69,Female,16109.00,32847.00,33514.00,721,2
1758,57,66,Male,11061.00,22556.00,43260.00,645,4
1266,35,54,Female,22590.00,46063.00,106528.00,618,1
1943,19,65,Female,46762.00,95348.00,71972.00,706,3
792,28,65,Female,22158.00,45180.00,13168.00,698,2
1055,37,69,Male,15137.00,30865.00,55079.00,594,1
1159,20,69,Male,20377.00,41543.00,49021.00,732,4
1115,53,73,Male,14811.00,30198.00,40950.00,693,6
38,45,64,Female,19621.00,40006.00,72794.00,621,1
1027,53,68,Male,30232.00,61646.00,0.00,693,3
11,39,67,Female,33175.00,67643.00,0.00,714,6
871,86,71,Female,13820.00,22650.00,0.00,690,6
746,63,67,Male,14856.00,30288.00,42745.00,689,4
1520,67,65,Male,22549.00,47213.00,1082.00,789,5
1372,76,66,Female,15005.00,28215.00,18116.00,697,2
1799,32,55,Male,51751.00,105515.00,192458.00,646,4
1905,36,68,Male,13972.00,28489.00,6087.00,808,4
130,63,69,Female,39752.00,81048.00,156195.00,781,4
1990,19,62,Female,23180.00,47263.00,74853.00,726,2
593,19,71,Male,16585.00,33816.00,77770.00,635,1
540,25,69,Female,15770.00,32160.00,62803.00,634,1
1155,83,65,Female,15462.00,29494.00,1196.00,689,5
663,68,63,Female,36563.00,70554.00,39078.00,655,5
1987,63,62,Male,23098.00,33686.00,24997.00,488,2
1484,92,72,Female,30818.00,57732.00,2261.00,726,6
417,21,65,Male,10730.00,21879.00,69638.00,762,1
298,28,65,Male,25031.00,51041.00,106989.00,686,1
306,18,69,Male,34519.00,70380.00,106797.00,725,2
607,25,64,Male,20902.00,42617.00,67590.00,771,5
1769,75,65,Male,21861.00,46031.00,8332.00,661,5
698,55,66,Female,31927.00,65094.00,23909.00,699,3
896,27,65,Female,18278.00,37268.00,50388.00,626,1
1975,53,67,Female,19114.00,38972.00,44098.00,738,3
645,63,64,Female,13075.00,26661.00,42667.00,750,5
227,48,66,Male,40364.00,82295.00,1555.00,736,4
84,47,68,Male,12630.00,25748.00,41455.00,738,3
1684,56,65,Male,13668.00,27861.00,108313.00,782,5
745,18,72,Male,23820.00,48561.00,0.00,752,1
1508,66,69,Female,19125.00,38999.00,64875.00,747,4
1158,62,66,Male,16239.00,33112.00,56040.00,716,2
1427,34,66,Female,49477.00,100880.00,210445.00,770,1
352,22,65,Male,18175.00,37058.00,50548.00,680,2
1948,24,58,Male,23166.00,47234.00,89154.00,685,3
724,45,72,Female,17237.00,35142.00,107898.00,731,4
543,43,65,Female,15069.00,30721.00,49961.00,749,3
1559,56,67,Female,28862.00,58846.00,126806.00,746,3
1199,29,68,Male,19161.00,39069.00,63884.00,720,2
1745,20,65,Female,24252.00,49449.00,30723.00,728,3
1950,39,73,Female,10942.00,22312.00,39445.00,720,5
1397,32,72,Male,17845.00,36388.00,92949.00,710,4
873,52,68,Female,22086.00,45037.00,31792.00,710,3
1728,47,63,Female,18937.00,38615.00,74337.00,601,4
299,40,61,Male,13845.00,28229.00,55675.00,622,5
1742,58,67,Female,24638.00,50232.00,1218.00,751,4
1004,59,66,Male,16847.00,34350.00,61639.00,705,3
301,47,69,Male,25654.00,52308.00,135319.00,679,1
1011,27,66,Female,15724.00,32061.00,58904.00,676,1
906,75,69,Male,21749.00,21154.00,5764.00,705,6
110,52,72,Female,25594.00,52186.00,42852.00,737,4
1073,43,70,Female,17294.00,35264.00,70328.00,770,2
705,84,71,Female,42234.00,79870.00,4031.00,609,2
820,70,59,Female,26762.00,41902.00,29713.00,633,5
1188,24,61,Female,31374.00,63969.00,128412.00,626,1
1128,47,68,Male,16976.00,34606.00,23909.00,680,5
1479,32,60,Male,13059.00,26631.00,33950.00,805,1
1594,39,64,Male,17645.00,35978.00,49366.00,643,3
1485,64,69,Male,24402.00,49756.00,89743.00,618,4
1390,37,71,Male,29868.00,60897.00,85771.00,850,3
644,58,65,Female,20581.00,41963.00,53857.00,741,1
1912,37,60,Female,22059.00,44976.00,134335.00,684,1
1584,27,69,Male,22922.00,46733.00,34333.00,692,2
1803,26,60,Female,23129.00,47160.00,64193.00,578,1
1824,23,65,Male,24737.00,50433.00,97029.00,838,3
340,20,63,Male,25363.00,51713.00,86165.00,809,1
650,45,65,Male,11876.00,24215.00,28552.00,707,6
762,49,59,Male,18293.00,37298.00,52134.00,683,1
1061,25,67,Male,19844.00,40457.00,68826.00,739,1
1931,58,72,Male,40694.00,82974.00,181429.00,503,2
702,46,68,Female,34873.00,71103.00,136853.00,721,4
918,43,75,Female,14320.00,29194.00,10895.00,703,2
1137,52,67,Male,16410.00,33465.00,98713.00,669,3
66,20,71,Female,15361.00,31314.00,40331.00,721,4
1406,36,68,Male,11633.00,23718.00,1386.00,712,2
437,46,66,Female,35645.00,72670.00,28915.00,718,3
806,24,67,Female,38243.00,77972.00,6128.00,686,3
891,38,66,Female,17093.00,34854.00,40722.00,746,5
1191,25,69,Female,18098.00,36902.00,60538.00,711,1
701,28,59,Female,26476.00,53984.00,76118.00,701,1
1147,80,69,Male,46827.00,104692.00,6955.00,704,2
1625,24,66,Female,49629.00,101191.00,290730.00,659,1
1664,38,66,Male,34119.00,69566.00,50003.00,791,4
1273,21,71,Male,24223.00,49382.00,43126.00,762,1
1009,41,65,Female,14093.00,28733.00,0.00,702,3
1341,87,72,Male,19914.00,30349.00,2985.00,686,4
925,31,68,Male,28710.00,58538.00,93153.00,610,1
824,32,66,Female,18100.00,36901.00,23293.00,695,4
563,70,65,Male,24725.00,49531.00,6707.00,737,6
1612,68,66,Male,20649.00,35370.00,14777.00,562,1
1700,45,62,Female,18962.00,38666.00,116783.00,822,1
963,24,70,Female,20458.00,41714.00,54541.00,687,3
904,32,66,Male,12018.00,24505.00,52405.00,759,1
1586,43,65,Male,27778.00,56640.00,104134.00,672,4
1286,53,67,Female,30202.00,61578.00,85383.00,602,2
719,53,66,Female,24589.00,50139.00,109623.00,767,3
1469,21,68,Male,16990.00,34646.00,54205.00,759,1
930,22,65,Male,12274.00,25024.00,29227.00,691,2
1814,41,68,Female,16114.00,32856.00,26535.00,703,3
1723,41,66,Female,17696.00,36080.00,80443.00,839,3
1377,32,68,Female,14535.00,29637.00,56446.00,569,3
470,56,65,Male,14004.00,28553.00,94214.00,747,3
1804,18,65,Male,21335.00,43499.00,108468.00,701,4
229,35,57,Female,29059.00,59248.00,173887.00,725,5
1512,44,65,Male,32865.00,67008.00,81402.00,778,8
1543,31,68,Female,51976.00,105963.00,106266.00,684,4
147,30,66,Male,27653.00,56383.00,130152.00,800,4
1941,38,78,Male,18934.00,38609.00,27463.00,740,3
901,48,66,Male,17987.00,36671.00,39882.00,850,3
191,28,65,Male,19550.00,39860.00,112825.00,728,1
12,18,63,Female,18531.00,37785.00,58187.00,748,1
1828,50,68,Male,0.00,2466.00,5521.00,711,2
29,68,60,Female,18682.00,27358.00,13557.00,665,2
181,26,65,Female,25025.00,51024.00,181184.00,602,1
995,40,64,Female,49868.00,101679.00,307856.00,592,1
1218,20,71,Male,13632.00,27801.00,0.00,754,1
186,61,69,Female,18897.00,38536.00,72299.00,705,1
171,43,70,Female,24314.00,49577.00,142314.00,694,3
1401,24,71,Male,17985.00,36672.00,49660.00,739,2
1314,43,70,Male,19325.00,39404.00,71859.00,723,5
1560,61,60,Female,18849.00,18452.00,16827.00,741,6
613,39,69,Female,27741.00,56562.00,111495.00,712,4
346,90,74,Female,25249.00,48580.00,1785.00,687,7
812,41,67,Female,20338.00,41469.00,119423.00,659,1
13,52,61,Female,15879.00,32378.00,65919.00,588,4
602,57,67,Male,16888.00,34437.00,0.00,681,4
657,83,68,Female,20697.00,33897.00,533.00,705,4
909,38,64,Male,24044.00,49023.00,66148.00,583,5
183,24,65,Female,18937.00,38609.00,39867.00,798,3
1792,18,68,Female,15062.00,30712.00,38054.00,723,2
1599,22,68,Male,16011.00,32645.00,59851.00,790,3
1267,81,65,Female,28248.00,31912.00,2182.00,630,4
411,30,67,Male,18401.00,37521.00,65701.00,775,2
350,62,70,Female,28673.00,58463.00,141151.00,737,4
1323,36,68,Female,15407.00,31414.00,42233.00,719,4
934,32,63,Female,20159.00,41106.00,106963.00,762,3
421,53,67,Female,22502.00,45876.00,58252.00,790,7
223,37,67,Female,28760.00,58637.00,87340.00,803,6
1402,35,63,Male,47364.00,96574.00,265319.00,590,3
1650,18,67,Male,21642.00,44128.00,142368.00,687,3
354,77,72,Female,22185.00,31942.00,11845.00,713,6
314,27,66,Male,28410.00,57927.00,87736.00,557,1
1457,20,66,Male,22425.00,45725.00,102164.00,688,4
1613,39,65,Male,21647.00,44134.00,0.00,792,4
945,19,66,Male,27748.00,56579.00,79726.00,705,2
586,37,63,Male,22983.00,46864.00,58954.00,751,4
119,44,67,Female,27761.00,56605.00,87970.00,624,3
1312,31,66,Female,25115.00,51209.00,76900.00,765,1
1529,51,69,Male,37424.00,76305.00,112785.00,692,3
326,18,61,Male,30076.00,61325.00,83899.00,652,1
1596,42,69,Male,15583.00,31772.00,17286.00,734,4
714,61,67,Female,35992.00,73383.00,155191.00,760,2
887,55,66,Male,26137.00,53287.00,51026.00,816,4
1425,88,67,Female,19115.00,19225.00,1644.00,809,8
1645,62,65,Female,29692.00,60541.00,160456.00,716,3
1863,44,61,Female,21639.00,44124.00,107162.00,850,1
1576,88,65,Female,24578.00,36764.00,839.00,712,8
1268,47,63,Male,14516.00,29597.00,44388.00,513,4
1565,37,66,Female,18959.00,38656.00,47523.00,584,1
1842,45,64,Male,15385.00,31373.00,58481.00,637,2
664,22,68,Female,16519.00,33681.00,78326.00,697,2
485,39,64,Male,18740.00,38211.00,84427.00,665,2
244,40,62,Female,13144.00,26802.00,43444.00,638,2
145,58,65,Female,12427.00,25334.00,182.00,696,3
866,34,67,Male,30361.00,61904.00,125358.00,639,3
1424,101,68,Female,13086.00,15348.00,1396.00,761,4
427,44,66,Female,15955.00,32527.00,74331.00,705,3
684,51,63,Male,21661.00,44170.00,90049.00,661,7
1643,28,64,Female,22599.00,46077.00,101450.00,686,1
1300,58,66,Male,11324.00,23092.00,20545.00,752,4
283,19,69,Male,15064.00,30710.00,30956.00,680,2
355,22,62,Female,19856.00,40491.00,81879.00,691,2
1669,44,62,Male,25234.00,51454.00,151162.00,698,4
937,47,63,Female,46169.00,94133.00,189899.00,603,1
845,58,72,Male,18005.00,36710.00,116794.00,786,5
1518,62,70,Male,18533.00,37785.00,81500.00,745,3
1591,58,66,Female,16537.00,33717.00,58236.00,698,6
1172,50,64,Male,14709.00,29994.00,100834.00,769,1
1629,42,63,Female,14430.00,29422.00,58679.00,598,1
675,40,67,Male,17405.00,35489.00,91995.00,724,5
577,28,65,Female,16238.00,33106.00,108695.00,763,2
854,26,65,Female,29281.00,59699.00,71110.00,688,1
1261,58,70,Male,33737.00,68787.00,171854.00,527,1
1227,65,67,Female,33031.00,67344.00,7049.00,804,4
840,68,64,Female,51692.00,88432.00,63075.00,694,6
733,36,68,Male,26061.00,53138.00,153374.00,606,4
454,88,65,Female,22214.00,38523.00,49.00,751,5
961,76,63,Male,34909.00,26660.00,28332.00,721,4
768,53,67,Female,34043.00,69412.00,177225.00,620,1
817,26,67,Male,32314.00,65888.00,162364.00,803,2
78,37,63,Male,12362.00,25205.00,65179.00,688,1
1334,38,65,Female,19433.00,39627.00,47793.00,718,4
1610,42,66,Female,13717.00,27967.00,50159.00,690,2
108,50,68,Female,18709.00,38142.00,0.00,768,4
1308,36,67,Female,28919.00,58964.00,71890.00,619,1
780,74,66,Male,56720.00,58378.00,73124.00,652,1
1340,53,68,Male,26420.00,53872.00,64269.00,691,5
1888,75,59,Female,28429.00,41513.00,15899.00,748,3
247,49,69,Female,26772.00,54587.00,69070.00,761,6
238,22,62,Male,20400.00,41595.00,54451.00,675,1
915,44,64,Male,22047.00,44953.00,97076.00,728,1
1927,28,65,Male,17264.00,35199.00,68569.00,739,2
1658,28,59,Female,13891.00,28324.00,62363.00,695,2
1208,38,72,Male,16375.00,33387.00,69066.00,526,3
1255,24,67,Male,15209.00,31006.00,71031.00,681,2
85,29,60,Male,16006.00,32636.00,42290.00,782,1
1382,58,65,Male,12693.00,25883.00,44404.00,706,4
1932,26,60,Female,9352.00,19069.00,23153.00,658,1
1217,59,66,Female,22070.00,44992.00,53368.00,785,3
514,58,72,Male,15840.00,32295.00,72357.00,698,4
232,57,66,Female,33919.00,69159.00,135111.00,786,3
445,42,59,Female,6201.00,12643.00,19299.00,645,1
1206,34,65,Female,42685.00,87030.00,161964.00,727,3
1276,82,66,Female,25365.00,41793.00,1141.00,730,5
875,39,71,Male,20553.00,41907.00,87163.00,728,4
1546,48,61,Male,19781.00,40336.00,144284.00,668,4
422,19,62,Female,15539.00,31683.00,46987.00,817,4
519,57,67,Female,19377.00,39508.00,18870.00,770,4
1408,42,67,Male,12189.00,24859.00,43986.00,683,2
1204,42,67,Male,34059.00,69440.00,129944.00,743,3
276,25,70,Male,10626.00,21666.00,38058.00,610,2
1133,30,66,Female,22855.00,46599.00,12700.00,684,4
1035,22,71,Male,24781.00,50525.00,118160.00,701,2
710,60,68,Female,25698.00,52397.00,72810.00,729,3
582,53,63,Male,19236.00,39222.00,66559.00,583,3
821,73,60,Male,12434.00,18015.00,10463.00,645,2
1352,65,64,Female,20035.00,42102.00,9645.00,672,3
831,36,66,Male,18302.00,37316.00,37515.00,726,2
936,18,67,Female,20460.00,41717.00,27174.00,718,5
578,75,71,Male,14920.00,20797.00,10127.00,777,1
1997,76,69,Male,39155.00,38800.00,25867.00,758,7
258,51,68,Male,14528.00,29622.00,17385.00,694,3
851,88,65,Female,19620.00,31399.00,2528.00,757,4
1951,48,66,Female,31075.00,63355.00,0.00,708,5
1978,19,71,Female,15299.00,31197.00,84749.00,844,2
1897,38,67,Male,51032.00,104049.00,247623.00,741,2
972,35,69,Male,24608.00,50177.00,101323.00,681,4
1010,40,64,Female,16843.00,34344.00,48931.00,548,1
1243,31,72,Female,17110.00,34884.00,26799.00,705,5
1976,33,69,Female,27906.00,56897.00,0.00,699,5
91,38,72,Female,35630.00,72647.00,90579.00,739,1
1606,49,66,Male,25381.00,51755.00,88605.00,806,1
1201,60,66,Male,56632.00,115465.00,195657.00,715,4
1887,18,70,Male,17522.00,35731.00,71825.00,503,2
195,18,70,Female,31847.00,64936.00,107755.00,688,2
874,24,68,Male,30757.00,62711.00,68777.00,798,3
1317,41,68,Female,15157.00,30910.00,42507.00,749,4
1311,27,71,Male,21219.00,43264.00,89798.00,729,1
785,18,67,Male,23990.00,48909.00,71310.00,740,2
662,32,71,Female,42028.00,85694.00,120733.00,822,2
847,81,68,Female,18585.00,27864.00,1371.00,591,6
685,21,68,Male,21828.00,44513.00,105303.00,778,6
617,27,69,Female,28459.00,58026.00,133169.00,691,1
23,18,70,Female,31193.00,63600.00,102773.00,645,1
339,19,75,Female,15597.00,31797.00,5400.00,843,2
280,40,66,Female,21869.00,44585.00,81825.00,684,5
1473,51,67,Female,20316.00,41427.00,53773.00,850,3
65,51,72,Female,16928.00,34517.00,74143.00,645,2
1353,50,65,Female,21232.00,43294.00,104521.00,816,7
736,27,66,Female,30072.00,61317.00,0.00,741,3
1670,68,65,Male,32079.00,50184.00,27778.00,732,4
1776,47,75,Male,21156.00,43133.00,44263.00,693,3
1474,23,65,Female,21757.00,44361.00,71031.00,705,1
951,57,66,Female,13075.00,26664.00,12241.00,709,4
1818,85,65,Female,29485.00,41843.00,1741.00,500,3
1450,22,70,Male,24500.00,49952.00,95184.00,780,1
1524,26,60,Male,48986.00,99883.00,171034.00,732,1
1789,40,65,Female,18898.00,38527.00,36933.00,684,2
767,32,63,Female,18013.00,36729.00,48624.00,686,3
678,63,67,Female,14456.00,29477.00,56355.00,850,4
471,52,65,Male,35137.00,71645.00,155006.00,629,3
757,62,65,Female,22674.00,46232.00,68957.00,691,4
1724,20,66,Female,18036.00,36775.00,102641.00,850,3
1603,41,65,Male,19036.00,38812.00,16331.00,762,4
224,20,67,Female,19682.00,40130.00,55801.00,798,1
808,38,66,Female,17679.00,36045.00,0.00,683,3
1326,52,73,Female,32610.00,66489.00,83828.00,731,2
158,31,72,Female,20343.00,41475.00,0.00,747,2
1928,56,68,Male,27308.00,55682.00,82696.00,750,4
1575,51,68,Female,28272.00,57646.00,127892.00,724,4
1608,19,68,Female,19399.00,39556.00,132573.00,572,1
1455,36,67,Male,16838.00,34330.00,15223.00,713,4
1916,82,71,Male,15069.00,10142.00,1809.00,767,7
1617,30,60,Male,37697.00,76867.00,118029.00,659,1
143,22,68,Female,25689.00,52379.00,107734.00,771,3
1176,39,64,Male,28126.00,57348.00,119230.00,527,3
1194,49,70,Male,18658.00,38041.00,27813.00,782,4
423,28,70,Female,26023.00,53053.00,42396.00,696,2
580,35,65,Male,18077.00,36857.00,3112.00,768,3
4,54,72,Female,37485.00,76431.00,115362.00,716,5
530,78,68,Male,14709.00,18100.00,0.00,682,6
1826,45,61,Female,8155.00,16628.00,33926.00,654,1
595,79,66,Male,18100.00,29041.00,4427.00,699,4
1022,47,64,Female,17595.00,35876.00,50190.00,635,3
1108,19,67,Male,40216.00,81995.00,133788.00,685,2
246,50,70,Female,40364.00,82298.00,0.00,791,4
270,30,62,Male,30367.00,61916.00,165886.00,655,4
1945,56,70,Female,14736.00,30042.00,9208.00,727,4
1540,55,61,Female,21992.00,44839.00,63194.00,625,3
1149,25,74,Male,29740.00,60638.00,132252.00,661,1
1438,26,64,Female,14737.00,30049.00,80474.00,700,1
409,54,65,Female,14568.00,29699.00,6569.00,711,3
694,29,66,Male,20519.00,41836.00,60302.00,615,2
382,55,68,Male,11329.00,23103.00,63635.00,681,3
629,72,70,Male,39053.00,57513.00,11755.00,793,5
1211,66,68,Female,18759.00,38249.00,0.00,746,4
823,41,65,Female,20353.00,41496.00,9222.00,807,2
1304,24,70,Female,44540.00,90812.00,175569.00,850,3
89,35,67,Male,14822.00,30217.00,23394.00,705,4
1751,29,66,Female,30202.00,61581.00,241312.00,736,2
888,53,67,Male,16462.00,33566.00,96597.00,698,1
81,66,68,Female,17440.00,35560.00,60397.00,723,5
1021,21,67,Female,31699.00,64630.00,92847.00,751,2
826,67,60,Female,26767.00,57705.00,22475.00,684,3
87,58,71,Male,11844.00,24155.00,2870.00,802,3
1833,27,71,Male,17179.00,35026.00,11468.00,743,5
829,29,70,Female,17854.00,36404.00,11745.00,726,3
1879,50,60,Male,18724.00,38179.00,50559.00,609,2
236,36,65,Female,79100.00,161276.00,317964.00,540,1
1619,31,66,Male,15737.00,32086.00,53595.00,747,4
1146,22,69,Female,18395.00,37505.00,57014.00,714,3
803,69,73,Female,22799.00,46487.00,57336.00,635,3
193,23,65,Female,18583.00,37891.00,66163.00,749,1
1686,54,67,Female,30072.00,61312.00,25355.00,708,3
1959,46,59,Male,25565.00,52130.00,80367.00,701,1
1342,27,61,Female,19983.00,40744.00,50803.00,717,1
1371,86,65,Female,24516.00,49529.00,1385.00,689,6
1067,76,63,Male,24531.00,41790.00,24676.00,719,5
1019,81,57,Female,15775.00,29928.00,2028.00,713,4
1568,47,67,Female,21077.00,42976.00,58765.00,748,3
1765,40,68,Male,15755.00,32126.00,56283.00,770,3
1875,56,69,Male,22170.00,45202.00,71022.00,683,4
1111,20,65,Female,17120.00,34907.00,64107.00,742,3
1160,27,65,Male,16965.00,34591.00,65770.00,688,2
1574,22,69,Female,15661.00,31933.00,65405.00,746,1
189,42,70,Male,25584.00,52165.00,97248.00,730,4
466,58,64,Female,14477.00,29519.00,45597.00,643,3
659,57,67,Male,15981.00,32583.00,12501.00,812,7
942,37,65,Male,29006.00,59139.00,128870.00,742,4
1234,44,64,Male,30499.00,62185.00,114235.00,749,1
841,22,67,Male,17561.00,35800.00,65841.00,753,2
1388,26,71,Male,35553.00,72485.00,31605.00,691,2
1056,24,65,Female,25524.00,52036.00,26232.00,703,3
345,33,67,Male,17409.00,35499.00,80517.00,724,1
308,44,65,Male,15209.00,31015.00,103094.00,737,2
1922,79,65,Male,34848.00,53222.00,23051.00,640,1
1156,56,69,Female,137428.00,280199.00,91367.00,752,5
561,48,67,Male,18076.00,36853.00,112139.00,834,5
507,22,70,Male,18392.00,37497.00,0.00,695,1
1522,88,66,Female,37030.00,31828.00,3777.00,593,3
695,49,68,Female,35246.00,71866.00,132580.00,662,1
285,62,69,Male,16920.00,34496.00,33122.00,731,5
113,74,71,Female,26016.00,39003.00,10793.00,788,5
